"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","26","1","3","1.2","0.6","+2"
"2",1,"Jaxon Smith-Njigba",SEA,"WR2","24","2","5","2.9","1.2","+3"
"3",1,"Puka Nacua",LAR,"WR3","25","2","5","3.7","0.9","+1"
"4",1,"Bijan Robinson",ATL,"RB1","24","2","5","3.8","1.3","-3"
"5",1,"Jahmyr Gibbs",DET,"RB2","24","2","6","4.3","1.4","-3"
"6",2,"Amon-Ra St. Brown",DET,"WR4","26","4","10","6.3","2.0","0"
"7",2,"Justin Jefferson",MIN,"WR5","27","6","12","8.4","2.0","+2"
"8",2,"CeeDee Lamb",DAL,"WR6","27","6","13","9.6","2.3","+3"
"9",2,"Ashton Jeanty",LV,"RB3","22","7","15","10.1","2.2","-2"
"10",3,"Malik Nabers",NYG,"WR7","23","7","19","11.4","3.3","0"
"11",3,"Drake London",ATL,"WR8","25","9","14","11.6","1.8","+8"
"12",3,"Jeremiyah Love",ARI,"RB4","21","8","18","11.9","2.9","+3"
"13",3,"James Cook III",BUF,"RB5","26","8","21","15.2","3.8","+5"
"14",3,"De'Von Achane",MIA,"RB6","24","9","24","15.6","4.2","0"
"15",3,"Brock Bowers",LV,"TE1","23","6","31","17.9","6.6","-3"
"16",3,"Tetairoa McMillan",CAR,"WR9","23","14","26","18.0","3.4","+7"
"17",3,"Nico Collins",HOU,"WR10","27","14","27","18.4","4.1","+9"
"18",3,"Jonathan Taylor",IND,"RB7","27","9","35","18.5","7.2","-5"
"19",3,"Omarion Hampton",LAC,"RB8","23","12","27","18.6","4.1","-3"
"20",4,"George Pickens",DAL,"WR11","25","14","27","20.9","4.3","+1"
"21",4,"Josh Allen",BUF,"QB1","30","19","25","21.3","2.5","-13"
"22",4,"Emeka Egbuka",TB,"WR12","23","16","34","23.9","6.0","+2"
"23",4,"Trey McBride",ARI,"TE2","26","9","33","24.6","7.7","-6"
"24",4,"Chris Olave",NO,"WR13","26","20","32","25.2","3.9","+6"
"25",4,"Drake Maye",NE,"QB2","24","19","49","28.1","6.7","-3"
"26",4,"Kenneth Walker III",KC,"RB9","25","16","50","28.6","10.2","+1"
"",4
"27",4,"Garrett Wilson",NYJ,"WR14","26","22","41","28.9","5.3","+8"
"28",5,"Carnell Tate",TEN,"WR15","21","18","54","31.4","9.9","+12"
"29",5,"Zay Flowers",BAL,"WR16","25","26","47","32.4","5.7","+18"
"30",5,"Lamar Jackson",BAL,"QB3","29","24","51","33.4","7.6","+1"
"31",5,"DeVonta Smith",PHI,"WR17","27","24","43","34.6","5.0","+18"
"32",5,"Ladd McConkey",LAC,"WR18","24","27","47","34.6","5.4","0"
"33",5,"A.J. Brown",NE,"WR19","29","20","48","35.5","8.2","+4"
"34",5,"Luther Burden III",CHI,"WR20","22","20","57","35.7","10.4","+12"
"35",5,"Colston Loveland",CHI,"TE3","22","18","47","35.9","9.9","-6"
"36",5,"Breece Hall",NYJ,"RB10","25","24","54","35.9","9.6","0"
"37",5,"Jayden Daniels",WAS,"QB4","25","28","46","35.9","5.9","+5"
"38",5,"Tee Higgins",CIN,"WR21","27","27","53","38.6","7.9","+15"
"39",5,"Chase Brown",CIN,"RB11","26","37","50","41.4","4.1","-14"
"40",5,"Tyler Warren",IND,"TE4","24","28","48","42.0","6.8","-6"
"41",5,"Joe Burrow",CIN,"QB5","29","28","51","42.1","5.7","-3"
"42",5,"Jaylen Waddle",DEN,"WR22","27","31","60","42.5","8.5","+21"
"43",6,"Makai Lemon",PHI,"WR23","22","33","76","44.0","11.1","+23"
