Rank,Player (Bye),POS,AVG,Real-Time
1,Jeremiyah Love   ARI (14),RB1,1.0,1
2,Carnell Tate   TEN (9),WR1,2.5,2
3,Jadarian Price   SEA (11),RB2,3.3,4  -1
4,Makai Lemon   PHI (10),WR2,4.8,5  -1
5,Jordyn Tyson   NO (8),WR3,5.0,3  +2
6,KC Concepcion   CLE (11),WR4,6.2,7  -1
7,Denzel Boston   CLE (11),WR5,9.3,11  -4
8,Jonah Coleman   DEN (10),RB3,10.0,10  -2
9,De'Zhaun Stribling   SF (8),WR6,10.5,18  -9
10,Omar Cooper Jr.   NYJ (13),WR7,11.8,9  +1
11,Mike Washington Jr.   LV (13),RB4,12.0,21  -10
12,Kenyon Sadiq   NYJ (13),TE1,12.3,8  +4
13,Fernando Mendoza   LV (13),QB1,12.7,6  +7
14,Emmett Johnson   KC (5),RB5,15.3,19  -5
15,Ja'Kobi Lane   BAL (13),WR8,16.3,25  -10
16,Nicholas Singleton   TEN (9),RB6,19.2,13  +3
17,Cyrus Allen   KC (5),WR9,20.5,37  -20
18,Zachariah Branch   ATL (11),WR10,20.5,22  -4
19,Germie Bernard   PIT (9),WR11,20.7,16  +3
20,Malachi Fields   NYG (8),WR12,21.7,23  -3
21,Kaelon Black   SF (8),RB7,21.8,28  -7
22,Antonio Williams   WAS (7),WR13,22.3,17  +5
23,Kaytron Allen   WAS (7),RB8,23.0,24  -1
24,Chris Bell   MIA (6),WR14,23.2,15  +9
25,Caleb Douglas   MIA (6),WR15,23.5,41  -16
26,Ted Hurst III   TB (10),WR16,23.5,26
27,Eli Stowers   PHI (10),TE2,26.0,12  +15
28,Demond Claiborne   MIN (6),RB9,27.7,32  -4
29,Elijah Sarratt   BAL (13),WR17,31.0,20  +9
30,Seth McGowan   IND (13),RB10,33.7,46  -16
31,Carson Beck   ARI (14),QB2,34.8,27  +4
32,Bryce Lance   NO (8),WR18,36.7,43  -11
33,Eli Raridon   NE (11),TE3,37.5,36  -3
34,Adam Randall   BAL (13),RB11,37.5,34
35,Ty Simpson   LAR (11),QB3,32.8,14  +21
36,Zavion Thomas   CHI (10),WR19,42.2,67  -31
37,Skyler Bell   BUF (7),WR20,37.4,30  +7
38,Malik Benson   LV (13),WR21,43.7,62  -24
39,Max Klare   LAR (11),TE4,38.2,31  +8
40,Brenen Thompson   LAC (7),WR22,40.4,38  +2
41,J'Mari Taylor   JAC (7),RB12,40.6,45  -4
42,Oscar Delp   NO (8),TE5,41.2,35  +7
43,Cade Klubnik   NYJ (13),QB4,44.4,39  +4
44,Justin Joly   DEN (10),TE6,44.6,56  -12
45,Kevin Coleman Jr.   MIA (6),WR23,45.0,40  +5
46,Colbie Young   CIN (6),WR24,46.0,
47,Barion Brown   NO (8),WR25,46.4,58  -11
48,Drew Allar   PIT (9),QB5,40.8,33  +15
49,CJ Daniels   LAR (11),WR26,51.2,61  -12
50,Eli Heidenreich   PIT (9),RB13,51.4,52  -2
51,Chris Brazzell II   CAR (5),WR27,36.3,29  +22
52,Jam Miller   NE (11),RB14,48.0,47  +5
53,Robert Henry Jr.   WAS (7),RB15,50.8,74  -21
54,Sam Roush   CHI (10),TE7,54.8,
55,Matt Hibner   BAL (13),TE8,38.5,71  -16
56,Taylen Green   CLE (11),QB6,51.3,69  -13
57,Josh Cameron   JAC (7),WR28,54.0,
58,Deion Burks   IND (13),WR29,54.3,59  -1
59,Trey Smack   GB (11),K1,47.0,60  -1
60,Marlin Klein   HOU (8),TE9,57.7,75  -15
61,Garrett Nussmeier   KC (5),QB7,52.0,42  +19
62,Haynes King   CAR (5),QB8,69.7,68  -6
63,Cole Payton   PHI (10),QB9,55.5,72  -9
