QB,Overall,Player (Bye),ESPN,Yahoo,CBS,Fantrax,Sleeper,RTSports,AVG,Real-Time
1,18,Josh Allen   BUF (7),1,1,1,1,1,1,1.0,1
2,35,Lamar Jackson   BAL (13),2,2,2,2,2,2,2.0,2
3,55,Drake Maye   NE (11),3,3,4,4,3,3,3.3,3
4,60,Joe Burrow   CIN (6),6,4,3,3,4,4,4.0,4
5,66,Jayden Daniels   WAS (7),4,5,6,5,5,5,5.0,6  -1
6,73,Jalen Hurts   PHI (10),5,6,7,7,6,6,6.2,5  +1
7,86,Caleb Williams   CHI (10),12,7,8,6,9,7,8.2,7
8,93,Dak Prescott   DAL (14),9,9,5,8,11,8,8.3,8
9,88,Justin Herbert   LAC (7),14,8,10,9,8,10,9.8,9
10,89,Trevor Lawrence   JAC (7),11,10,9,10,10,9,9.8,10
11,94,Jaxson Dart   NYG (8),7,11,14,13,7,11,10.5,11
12,123,Matthew Stafford   LAR (11),8,14,11,11,14,13,11.8,13  -1
13,112,Brock Purdy   SF (8),13,12,12,14,13,16,13.3,12  +1
14,116,Bo Nix   DEN (10),10,13,16,15,15,12,13.5,14
15,108,Patrick Mahomes II   KC (5),15,15,13,12,12,15,13.7,15
16,130,Jared Goff   DET (6),16,17,15,16,17,14,15.8,16
17,154,Kyler Murray   MIN (6),17,16,18,17,21,17,17.7,17
18,137,Jordan Love   GB (11),20,22,20,18,16,20,19.3,18
19,142,Baker Mayfield   TB (10),18,26,17,19,19,18,19.5,19
20,151,Tyler Shough   NO (8),19,28,21,20,20,19,21.2,21  -1
21,148,Malik Willis   MIA (6),24,23,23,21,18,21,21.7,20  +1
22,173,C.J. Stroud   HOU (8),23,25,24,22,22,23,23.2,23  -1
23,199,Daniel Jones   IND (13),21,27,22,23,26,25,24.0,24  -1
24,170,Sam Darnold   SEA (11),22,21,19,38,23,22,24.2,22  +2
25,201,Bryce Young   CAR (5),26,20,,25,27,26,24.8,25
26,187,Cam Ward   TEN (9),27,24,,24,25,24,24.8,27  -1
27,207,Fernando Mendoza   LV (13),25,19,,30,24,32,26.0,26  +1
28,235,Aaron Rodgers   PIT (9),28,18,,27,,28,25.3,31  -3
29,250,Shedeur Sanders   CLE (11),29,,,32,30,35,31.5,28  +1
30,210,Jacoby Brissett   ARI (14),,,,26,28,27,27.0,30
31,232,Tua Tagovailoa   ATL (11),,,,29,32,31,30.7,
32,306,J.J. McCarthy   MIN (6),31,,,36,29,,32.0,
33,237,Michael Penix Jr.   ATL (11),,,,33,31,33,32.3,
34,252,Kirk Cousins   LV (13),43,,,28,,34,35.0,
35,239,Geno Smith   NYJ (13),,,,31,,29,30.0,29  +6
36,321,Ty Simpson   LAR (11),37,,,44,33,,38.0,
37,240,Deshaun Watson   CLE (11),,,,34,,30,32.0,
38,,Jameis Winston   NYG (8),38,,,37,,,37.5,
39,,Tommy DeVito   NE (11),33,,,46,,,39.5,
40,,Carson Beck   ARI (14),44,,,35,,,39.5,
41,,Drew Allar   PIT (9),32,,,48,,,40.0,
42,,Philip Rivers,30,,,,,,30.0,
43,,Justin Fields   KC (5),45,,,39,,,42.0,
44,,Kyle Allen   BUF (7),40,,,45,,,42.5,
45,,Joe Flacco   CIN (6),34,,,53,,,43.5,
46,,Joshua Dobbs   DET (6),35,,,,,,35.0,
47,,Joe Milton III   DAL (14),36,,,,,,36.0,
48,,Mac Jones   SF (8),46,,,42,,,44.0,
49,,Kenny Pickett   CAR (5),39,,,,,,39.0,
50,,Jake Browning   TB (10),,,,40,,,40.0,
51,,Marcus Mariota   WAS (7),,,,41,,,41.0,
52,,Michael Pratt,42,,,,,,42.0,
53,,Trey Lance   LAC (7),,,,43,,,43.0,
54,,Cade Klubnik   NYJ (13),48,,,49,,,48.5,
55,,Mitchell Trubisky   TEN (9),,,,47,,,47.0,
56,,Tanner McKee   PHI (10),47,,,,,,47.0,
57,,Drew Lock   SEA (11),49,,,,,,49.0,
58,,Tyler Huntley   BAL (13),,,,50,,,50.0,
59,,Tyrod Taylor   GB (11),,,,51,,,51.0,
60,,Mason Rudolph   PIT (9),,,,52,,,52.0,
61,,Andy Dalton   PHI (10),,,,54,,,54.0,
62,,Quinn Ewers   MIA (6),,,,55,,,55.0,
63,,Gardner Minshew II   ARI (14),,,,56,,,56.0,
64,,Riley Leonard   IND (13),,,,57,,,57.0,
65,,Anthony Richardson Sr.   IND (13),,,,58,,,58.0,
66,,Brendan Sorsby,,,,59,,,59.0,
