RB,Overall,Player (Bye),Sleeper,RTSports,AVG,Real-Time
1,1,Jahmyr Gibbs   DET (6),2,1,1.3,1
2,2,Bijan Robinson   ATL (11),1,2,1.7,2
3,5,Jonathan Taylor   IND (13),3,4,3.3,3
4,4,Christian McCaffrey   SF (8),4,3,4.3,4
5,7,James Cook III   BUF (7),5,5,5.0,5
6,9,De'Von Achane   MIA (6),7,6,6.7,7  -1
7,10,Derrick Henry   BAL (13),6,12,7.3,8  -1
8,15,Saquon Barkley   PHI (10),11,8,9.0,6  +2
9,16,Chase Brown   CIN (6),13,7,9.7,9
10,13,Ashton Jeanty   LV (13),8,11,9.7,12  -2
11,12,Omarion Hampton   LAC (7),9,9,10.3,11
12,19,Kenneth Walker III   KC (5),15,10,12.0,10  +2
13,21,Kyren Williams   LAR (11),10,15,12.3,13
14,23,Jeremiyah Love   ARI (14),12,14,14.7,14
15,27,Josh Jacobs   GB (11),14,16,14.7,17  -2
16,30,Javonte Williams   DAL (14),17,13,15.3,15  +1
17,32,Breece Hall   NYJ (13),16,17,18.0,16  +1
18,34,Travis Etienne Jr.   NO (8),19,18,18.7,18
19,38,Cam Skattebo   NYG (8),21,20,19.3,20  -1
20,36,Bucky Irving   TB (10),18,21,19.7,23  -3
21,51,D'Andre Swift   CHI (10),24,22,20.3,19  +2
22,39,Quinshon Judkins   CLE (11),23,19,22.0,22
23,50,Bhayshul Tuten   JAC (7),22,24,23.0,25  -2
24,53,David Montgomery   HOU (8),25,23,23.3,21  +3
25,47,TreVeyon Henderson   NE (11),20,26,24.0,26  -1
26,59,Jaylen Warren   PIT (9),26,28,28.0,28  -2
27,69,Jadarian Price   SEA (11),35,25,28.3,24  +3
28,61,Rhamondre Stevenson   NE (11),28,27,28.7,27  +1
29,67,Rico Dowdle   PIT (9),31,29,29.7,31  -2
30,71,Tony Pollard   TEN (9),30,32,30.0,29  +1
31,63,RJ Harvey   DEN (10),27,31,30.7,37  -6
32,80,J.K. Dobbins   DEN (10),34,34,31.7,32
33,78,Chuba Hubbard   CAR (5),32,35,34.3,35  -2
34,77,Kyle Monangai   CHI (10),29,39,35.3,38  -4
35,81,Blake Corum   LAR (11),33,36,35.3,33  +2
36,91,Jordan Mason   MIN (6),42,33,36.0,36
37,95,Jacory Croskey-Merritt   WAS (7),41,37,37.7,34  +3
38,90,Kenny Gainwell   TB (10),38,38,38.3,39  -1
39,115,Jonathon Brooks   CAR (5),57,30,39.7,30  +9
40,100,Aaron Jones Sr.   MIN (6),37,43,40.0,40
41,105,Woody Marks   HOU (8),44,41,43.0,45  -4
42,119,Rachaad White   WAS (7),51,40,44.0,41  +1
43,106,Tyler Allgeier   ARI (14),39,46,44.3,44  -1
44,124,Zach Charbonnet   SEA (11),43,48,45.3,48  -4
45,133,Mike Washington Jr.   LV (13),54,42,46.3,42  +3
46,128,Tyrone Tracy Jr.   NYG (8),45,51,47.3,54  -8
47,139,Chris Rodriguez Jr.   JAC (7),56,45,47.7,43  +4
48,120,Brian Robinson Jr.   ATL (11),36,54,49.0,51  -3
49,127,Tyjae Spears   TEN (9),50,44,50.0,47  +2
50,129,Jonah Coleman   DEN (10),48,49,50.3,52  -2
51,162,Isiah Pacheco   DET (6),60,52,53.0,55  -4
52,152,Keaton Mitchell   LAC (7),59,50,53.0,46  +6
53,144,Alvin Kamara   NO (8),49,56,53.3,53
54,159,Braelon Allen   NYJ (13),53,57,54.0,56  -2
55,160,Tank Bigsby   PHI (10),58,53,54.7,50  +5
56,149,Dylan Sampson   CLE (11),52,55,55.0,59  -3
57,205,MarShawn Lloyd   GB (11),,47,49.0,49  +8
58,150,Emmett Johnson   KC (5),46,59,52.5,58
59,231,Kaelon Black   SF (8),,58,53.5,57  +2
60,165,James Conner   ARI (14),40,72,56.0,63  -3
61,204,Trey Benson   ARI (14),47,,47.0,
62,181,Kimani Vidal   LAC (7),55,69,62.0,68  -6
63,194,Ray Davis   BUF (7),66,61,63.5,60  +3
64,192,Kaytron Allen   WAS (7),62,65,63.5,67  -3
65,196,Sean Tucker   TB (10),61,68,64.5,75  -10
66,200,Najee Harris   NYG (8),68,63,65.5,62  +4
67,203,Nicholas Singleton   TEN (9),65,66,65.5,70  -3
68,299,Jordan James   SF (8),,77,68.0,65  +3
69,241,Austin Ekeler,,60,60.0,
70,211,Jaylen Wright   MIA (6),70,67,68.5,66  +4
71,220,Jaydon Blue   DAL (14),74,64,69.0,61  +10
72,254,Justice Hill   BAL (13),,62,62.0,71  +1
73,233,Emanuel Wilson   SEA (11),63,79,71.0,
74,249,Joe Mixon,64,,64.0,74
75,258,Devin Neal   NO (8),67,,67.0,72  +3
76,224,Demond Claiborne   MIN (6),71,73,72.0,78  -2
77,242,Kaleb Johnson   PIT (9),69,78,73.5,76  +1
78,271,Devin Singletary   NYG (8),,70,70.0,
79,275,George Holani   SEA (11),,71,71.0,69  +10
80,272,Kendre Miller   NO (8),72,,72.0,77  +3
81,273,Brashard Smith   KC (5),73,,73.0,
82,290,Samaje Perine   CIN (6),,74,74.0,64  +18
83,293,Kareem Hunt,,75,75.0,
84,281,Audric Estime   NO (8),75,,75.0,
85,294,Ty Johnson   BUF (7),,76,76.0,
86,284,Jarquez Hunter   MIA (6),76,,76.0,
87,314,Malik Davis   DAL (14),,80,80.0,
88,316,Seth McGowan   IND (13),,81,81.0,
89,318,LeQuint Allen Jr.   JAC (7),,82,82.0,
90,322,Emari Demercado   KC (5),,83,83.0,
91,324,Alexander Mattison,,84,84.0,
92,329,Adam Randall   BAL (13),,85,85.0,
