"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","OVERALL ","UPSIDE ","BUST ","ECR VS. ADP"
"1",1,"Jeremiyah Love",ARI,"RB1","21","5 out of 5","5 out of 5","4 out of 5","0"
"2",1,"Carnell Tate",TEN,"WR1","21","5 out of 5","4 out of 5","3 out of 5","0"
"3",1,"Jordyn Tyson",NO,"WR2","22","4 out of 5","4 out of 5","4 out of 5","+2"
"4",1,"Makai Lemon",PHI,"WR3","22","4 out of 5","4 out of 5","4 out of 5","0"
"5",1,"Jadarian Price",SEA,"RB2","22","4 out of 5","4 out of 5","4 out of 5","-2"
"6",2,"KC Concepcion",CLE,"WR4","21","4 out of 5","4 out of 5","4 out of 5","0"
"7",2,"Omar Cooper Jr.",NYJ,"WR5","22","4 out of 5","4 out of 5","4 out of 5","+3"
"8",2,"Denzel Boston",CLE,"WR6","22","4 out of 5","4 out of 5","4 out of 5","-1"
"9",2,"Eli Stowers",PHI,"TE1","23","4 out of 5","4 out of 5","4 out of 5","+18"
"10",2,"Kenyon Sadiq",NYJ,"TE2","21","3 out of 5","4 out of 5","4 out of 5","+2"
"11",2,"Fernando Mendoza",LV,"QB1","22","4 out of 5","4 out of 5","4 out of 5","+2"
"12",2,"Jonah Coleman",DEN,"RB3","23","4 out of 5","3 out of 5","4 out of 5","-4"
"13",3,"De'Zhaun Stribling",SF,"WR7","23","3 out of 5","3 out of 5","4 out of 5","-4"
"14",3,"Emmett Johnson",KC,"RB4","22","4 out of 5","3 out of 5","4 out of 5","0"
"15",3,"Ja'Kobi Lane",BAL,"WR8","22","4 out of 5","4 out of 5","4 out of 5","0"
"16",3,"Antonio Williams",WAS,"WR9","22","4 out of 5","4 out of 5","4 out of 5","+6"
"17",3,"Chris Bell",MIA,"WR10","22","4 out of 5","4 out of 5","4 out of 5","+7"
"18",3,"Nicholas Singleton",TEN,"RB5","22","2 out of 5","3 out of 5","4 out of 5","-2"
"19",3,"Germie Bernard",PIT,"WR11","22","3 out of 5","3 out of 5","4 out of 5","0"
"20",4,"Ty Simpson",LAR,"QB2","23","4 out of 5","3 out of 5","4 out of 5","+15"
"21",4,"Elijah Sarratt",BAL,"WR12","23","4 out of 5","3 out of 5","4 out of 5","+8"
"22",4,"Ted Hurst III",TB,"WR13","22","4 out of 5","4 out of 5","4 out of 5","+4"
"23",4,"Kaelon Black",SF,"RB6","24","3 out of 5","3 out of 5","4 out of 5","-2"
"24",4,"Mike Washington Jr.",LV,"RB7","23","4 out of 5","4 out of 5","4 out of 5","-13"
"25",4,"Malachi Fields",NYG,"WR14","23","3 out of 5","3 out of 5","4 out of 5","-5"
"26",4,"Kaytron Allen",WAS,"RB8","23","3 out of 5","2 out of 5","4 out of 5","-3"
"",4
"27",4,"Eli Raridon",NE,"TE3","22","4 out of 5","4 out of 5","4 out of 5","+6"
"28",4,"Zachariah Branch",ATL,"WR15","22","3 out of 5","3 out of 5","4 out of 5","-10"
"29",4,"Oscar Delp",NO,"TE4","23","4 out of 5","4 out of 5","4 out of 5","+13"
"30",4,"Max Klare",LAR,"TE5","23","4 out of 5","3 out of 5","4 out of 5","+9"
"31",5,"Caleb Douglas",MIA,"WR16","22","3 out of 5","3 out of 5","4 out of 5","-6"
"32",5,"Cyrus Allen",KC,"WR17","23","4 out of 5","3 out of 5","4 out of 5","-15"
"33",5,"Demond Claiborne",MIN,"RB9","22","3 out of 5","2 out of 5","4 out of 5","-5"
"34",5,"Skyler Bell",BUF,"WR18","24","4 out of 5","3 out of 5","4 out of 5","+3"
"35",5,"Bryce Lance",NO,"WR19","24","4 out of 5","4 out of 5","4 out of 5","-3"
"36",5,"Carson Beck",ARI,"QB3","23","3 out of 5","2 out of 5","4 out of 5","-5"
"37",5,"Justin Joly",DEN,"TE6","22","3 out of 5","3 out of 5","4 out of 5","+7"
"38",5,"Adam Randall",BAL,"RB10","22","3 out of 5","3 out of 5","4 out of 5","-4"
"39",5,"Drew Allar",PIT,"QB4","22","2 out of 5","3 out of 5","4 out of 5","+9"
"40",5,"Chris Brazzell II",CAR,"WR20","22","3 out of 5","3 out of 5","4 out of 5","+11"
"41",5,"Tanner Koziol",JAC,"TE7","22","3 out of 5","2 out of 5","4 out of 5","+24"
"42",5,"Seth McGowan",IND,"RB11","24","3 out of 5","3 out of 5","4 out of 5","-12"
"43",5,"Eli Heidenreich",PIT,"RB12","23","3 out of 5","2 out of 5","4 out of 5","+7"
"44",6,"Cole Payton",PHI,"QB5","23","4 out of 5","4 out of 5","4 out of 5","+19"
"45",6,"Kevin Coleman Jr.",MIA,"WR21","22","-","-","-","0"
"46",6,"Cade Klubnik",NYJ,"QB6","22","3 out of 5","3 out of 5","4 out of 5","-3"
"47",6,"Brenen Thompson",LAC,"WR22","23","3 out of 5","3 out of 5","4 out of 5","-7"
"48",6,"Sam Roush",CHI,"TE8","22","2 out of 5","3 out of 5","4 out of 5","+6"
"49",6,"Robert Henry Jr.",WAS,"RB13","24","2 out of 5","1 out of 5","4 out of 5","+4"
"50",6,"J'Mari Taylor",JAC,"RB14","24","2 out of 5","2 out of 5","4 out of 5","-9"
"51",6,"Roman Hemby",LV,"RB15","24","2 out of 5","1 out of 5","4 out of 5","+32"
"52",6,"Jack Endries",CIN,"TE9","22","2 out of 5","2 out of 5","4 out of 5","+26"
"53",6,"Jam Miller",NE,"RB16","22","2 out of 5","2 out of 5","4 out of 5","-1"
"54",6,"Garrett Nussmeier",KC,"QB7","24","2 out of 5","1 out of 5","5 out of 5","+7"
"55",6,"Zavion Thomas",CHI,"WR23","22","2 out of 5","2 out of 5","4 out of 5","-19"
"56",6,"Reggie Virgil",ARI,"WR24","22","2 out of 5","2 out of 5","4 out of 5","+20"
"57",6,"Taylen Green",CLE,"QB8","23","3 out of 5","4 out of 5","4 out of 5","-1"
"58",6,"Deion Burks",IND,"WR25","23","3 out of 5","2 out of 5","4 out of 5","0"
"59",7,"Jaydn Ott",KC,"RB17","23","2 out of 5","2 out of 5","4 out of 5","+13"
"60",7,"CJ Daniels",LAR,"WR26","24","3 out of 5","2 out of 5","4 out of 5","-11"
"61",7,"Matt Hibner",BAL,"TE10","24","4 out of 5","4 out of 5","4 out of 5","-6"
"62",7,"Marlin Klein",HOU,"TE11","23","3 out of 5","3 out of 5","4 out of 5","-2"
"63",7,"Dean Connors",LAR,"RB18","23","3 out of 5","2 out of 5","4 out of 5","+12"
"64",7,"Malik Benson",LV,"WR27","23","4 out of 5","3 out of 5","2 out of 5","-26"
"65",7,"Haynes King",CAR,"QB9","25","3 out of 5","2 out of 5","4 out of 5","-3"
"66",7,"Barion Brown",NO,"WR28","22","3 out of 5","2 out of 5","4 out of 5","-19"
"67",7,"Terion Stewart",KC,"RB19","24","2 out of 5","2 out of 5","4 out of 5","+22"
"68",7,"Michael Trigg",DAL,"TE12","24","2 out of 5","2 out of 5","5 out of 5","-4"
"69",7,"Nate Boerkircher",JAC,"TE13","24","2 out of 5","2 out of 5","4 out of 5","+4"
"70",7,"Josh Cameron",JAC,"WR29","23","2 out of 5","2 out of 5","4 out of 5","-13"
"71",7,"Noah Whittington",HOU,"RB20","24","1 out of 5","1 out of 5","5 out of 5","+21"
"72",7,"Jeff Caldwell",KC,"WR30","23","3 out of 5","4 out of 5","4 out of 5","-6"
"73",7,"Joe Royer",CLE,"TE14","24","2 out of 5","2 out of 5","4 out of 5","+4"
"74",7,"Desmond Reid",FA,"RB21","22","1 out of 5","2 out of 5","5 out of 5","+17"
"75",7,"Jamal Haynes",CIN,"RB22","23","1 out of 5","1 out of 5","5 out of 5","+41"
"76",8,"Dae'Quan Wright",FA,"TE15","22","2 out of 5","2 out of 5","4 out of 5","+21"
"77",8,"Colbie Young",CIN,"WR31","24","3 out of 5","2 out of 5","4 out of 5","-31"
"78",8,"Kendrick Law",DET,"WR32","23","2 out of 5","2 out of 5","4 out of 5","+17"
"79",8,"Eric Rivers Jr.",TB,"WR33","23","2 out of 5","2 out of 5","4 out of 5","+23"
"80",8,"Eric McAlister",FA,"WR34","-","2 out of 5","3 out of 5","4 out of 5","-6"
"81",8,"Kaden Wetjen",PIT,"WR35","24","2 out of 5","2 out of 5","4 out of 5","-11"
"82",8,"Lewis Bond",HOU,"WR36","23","2 out of 5","2 out of 5","4 out of 5","-13"
"83",8,"Tyren Montgomery",TEN,"WR37","25","2 out of 5","2 out of 5","5 out of 5","-1"
"84",8,"Chip Trayanum",NYJ,"RB23","24","1 out of 5","1 out of 5","5 out of 5","+15"
"85",8,"J. Michael Sturdivant",GB,"WR38","23","2 out of 5","2 out of 5","5 out of 5","+32"
"86",8,"Dallen Bentley",DEN,"TE16","25","1 out of 5","1 out of 5","4 out of 5","+10"
"87",8,"CJ Donaldson",NO,"RB24","22","1 out of 5","1 out of 5","5 out of 5","+13"
"88",8,"Riley Nowakowski",PIT,"TE17","24","3 out of 5","2 out of 5","4 out of 5","-20"
"89",8,"Rahsul Faison",FA,"RB25","-","2 out of 5","2 out of 5","4 out of 5","+12"
"90",8,"Seydou Traore",MIA,"TE18","24","3 out of 5","3 out of 5","3 out of 5","-9"
"",8
"91",8,"Luke Altmyer",DET,"QB10","23","1 out of 5","1 out of 5","4 out of 5","+14"
"92",8,"Joey Aguilar",JAC,"QB11","25","1 out of 5","1 out of 5","5 out of 5","+36"
"93",8,"Chase Roberts",LV,"WR39","25","2 out of 5","2 out of 5","4 out of 5","-3"
"94",8,"John Michael Gyllenborg",KC,"TE19","24","1 out of 5","1 out of 5","5 out of 5","-14"
"95",8,"Miller Moss",CHI,"QB12","24","1 out of 5","1 out of 5","4 out of 5","+35"
"96",8,"Jaren Kanak",TEN,"TE20","22","1 out of 5","2 out of 5","5 out of 5","+13"
"97",8,"Aaron Anderson",FA,"WR40","23","2 out of 5","1 out of 5","4 out of 5","-4"
"98",8,"Jalon Daniels",TB,"QB13","23","1 out of 5","2 out of 5","5 out of 5","+8"
"99",8,"Dane Key",DEN,"WR41","23","2 out of 5","2 out of 5","4 out of 5","+14"
"100",9,"Harrison Wallace III",ARI,"WR42","23","1 out of 5","1 out of 5","5 out of 5","-13"
"101",9,"TJ Harden",FA,"RB26","22","1 out of 5","1 out of 5","5 out of 5","-"
"102",9,"Will Kacmarek",MIA,"TE21","23","2 out of 5","2 out of 5","5 out of 5","-31"
