TE,Overall,Player (Bye),Sleeper,RTSports,AVG,Real-Time
1,22,Trey McBride   ARI (14),1,1,1.3,2  -1
2,24,Brock Bowers   LV (13),2,2,1.7,1  +1
3,45,Colston Loveland   CHI (10),3,3,3.0,3
4,58,Tyler Warren   IND (13),4,4,4.0,4
5,74,Tucker Kraft   GB (11),6,6,6.0,5
6,64,Harold Fannin Jr.   CLE (11),5,5,6.3,7  -1
7,79,Kyle Pitts Sr.   ATL (11),7,7,7.3,8  -1
8,87,Sam LaPorta   DET (6),8,9,8.0,6  +2
9,114,Dallas Goedert   PHI (10),12,16,11.0,12  -3
10,99,Dalton Kincaid   BUF (7),9,12,11.7,10
11,98,George Kittle   SF (8),16,10,12.0,9  +2
12,104,Isaiah Likely   NYG (8),21,8,13.3,13  -1
13,113,Mark Andrews   BAL (13),13,15,13.3,14  -1
14,109,Jake Ferguson   DAL (14),14,13,14.0,15  -1
15,107,Travis Kelce   KC (5),19,11,14.3,11  +4
16,125,Hunter Henry   NE (11),11,17,15.3,17  -1
17,118,Juwan Johnson   NO (8),17,14,16.0,16  +1
18,136,Brenton Strange   JAC (7),18,20,18.0,18
19,141,Dalton Schultz   HOU (8),15,24,20.0,19
20,146,Kenyon Sadiq   NYJ (13),20,22,20.7,23  -3
21,153,Oronde Gadsden II   LAC (7),10,26,18.0,24  -3
22,179,AJ Barner   SEA (11),22,31,24.0,22
23,156,T.J. Hockenson   MIN (6),23,19,21.0,21  +2
24,158,Chig Okonkwo   WAS (7),26,18,22.0,20  +4
25,163,David Njoku   LAC (7),24,21,22.5,27  -2
26,168,Terrance Ferguson   LAR (11),29,23,26.0,25  +1
27,186,Colby Parkinson   LAR (11),25,32,28.5,31  -4
28,191,Cade Otton   TB (10),31,27,29.0,32  -4
29,259,Greg Dulcich   MIA (6),,25,25.0,26  +3
30,221,Mason Taylor   NYJ (13),27,,27.0,
31,278,Pat Freiermuth   PIT (9),,28,28.0,34  -3
32,216,Eli Stowers   PHI (10),28,36,32.0,33  -1
33,280,Elijah Arroyo   SEA (11),,29,29.0,
34,208,Gunnar Helm   TEN (9),32,33,32.5,29  +5
35,282,Mike Gesicki   CIN (6),,30,30.0,
36,226,Theo Johnson   NYG (8),30,,30.0,
37,263,Jake Tonges   SF (8),33,38,35.5,30  +7
38,296,Evan Engram   DEN (10),,34,34.0,
39,302,Max Klare   LAR (11),34,,34.0,
40,301,Darren Waller   CAR (5),,35,35.0,28  +12
41,303,Michael Trigg   DAL (14),35,,35.0,
42,307,Michael Mayer   LV (13),,37,37.0,
