"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Houston Texans","","49.4","14.4","11.6","18.2","2.8","1.0","322.1","5058.6","120.0"
"Denver Broncos","","59.8","13.3","8.3","12.2","2.4","0.5","318.9","4840.6","118.2"
"Minnesota Vikings","","49.3","12.6","12.1","18.1","2.4","0.0","360.5","5287.1","112.8"
"Pittsburgh Steelers","","45.9","13.3","12.5","18.7","2.4","0.0","346.4","5429.4","111.7"
"Seattle Seahawks","","46.5","13.6","8.4","13.6","3.2","0.5","314.0","5105.9","110.7"
"Los Angeles Chargers","","48.9","15.3","8.7","12.6","2.0","0.0","365.9","5470.9","108.6"
"Detroit Lions","","48.0","13.4","9.3","14.4","2.2","0.5","373.6","5439.3","107.4"
"Los Angeles Rams","","46.5","13.4","9.5","14.5","2.3","0.5","346.9","5236.6","107.3"
"Buffalo Bills","","42.7","14.6","9.6","12.7","2.4","0.5","392.3","5723.6","106.7"
"Atlanta Falcons","","49.4","12.6","8.1","12.7","2.3","0.5","419.2","5663.0","105.6"
"Philadelphia Eagles","","42.5","13.0","10.0","14.3","2.4","0.0","323.6","5265.7","102.5"
"Baltimore Ravens","","46.1","12.8","9.0","14.1","2.0","0.0","355.5","5249.8","101.3"
"Cleveland Browns","","46.4","12.1","8.5","12.6","2.2","0.0","386.7","5175.7","100.9"
"Chicago Bears","","39.0","14.1","10.6","16.6","2.1","0.0","389.5","5892.8","100.9"
"New Orleans Saints","","44.9","12.2","8.8","12.8","2.3","0.0","392.9","5422.6","100.5"
"Jacksonville Jaguars","","37.2","13.9","9.6","13.7","2.6","0.0","386.8","5481.3","99.9"
"Cincinnati Bengals","","41.2","13.1","9.8","13.4","2.1","0.0","411.7","5818.3","99.6"
"New England Patriots","","41.1","11.9","8.9","13.0","2.6","0.5","359.3","5330.4","99.4"
"Tampa Bay Buccaneers","","41.1","11.7","10.0","13.4","2.0","0.5","391.2","5578.5","97.3"
"Tennessee Titans","","44.8","10.1","8.5","13.0","2.1","0.5","463.7","5962.5","95.7"
"Green Bay Packers","","40.5","11.9","9.7","13.5","1.9","0.0","365.9","5495.3","95.1"
"Indianapolis Colts","","39.4","12.9","8.7","12.3","1.9","0.0","398.7","5561.3","94.3"
"Washington Commanders","","43.8","9.8","8.8","13.3","2.0","0.5","438.5","6120.9","94.3"
"Kansas City Chiefs","","42.0","11.7","7.9","12.2","1.9","0.0","347.6","5369.6","92.5"
"Dallas Cowboys","","42.1","10.7","8.4","13.1","1.9","0.0","437.6","6051.0","91.6"
"New York Giants","","40.9","10.5","8.8","12.4","2.0","0.0","418.7","6055.5","91.3"
"Miami Dolphins","","42.3","10.2","9.1","13.8","1.6","0.0","449.8","6075.9","90.4"
"Arizona Cardinals","","35.8","11.8","9.3","14.0","1.9","0.5","465.9","6147.8","90.2"
"Las Vegas Raiders","","40.7","10.2","8.4","14.0","1.8","0.5","440.4","5756.2","89.7"
"San Francisco 49ers","","36.0","11.1","9.3","15.3","1.9","0.0","393.0","5621.8","88.1"
"Carolina Panthers","","38.2","11.6","7.1","10.6","1.8","0.0","401.7","5778.1","86.3"
"New York Jets","","37.4","10.0","7.7","12.2","1.9","0.5","432.1","5653.1","85.0"
""
""
