"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","274.7","1382.5","13.8","71.3","581.0","4.1","1.1","337.4"
"Bijan Robinson","ATL","RB2","285.2","1392.1","8.8","77.3","705.2","3.5","1.8","318.4"
"Christian McCaffrey","SF","RB3","269.7","1094.6","8.7","78.4","691.8","4.6","1.1","295.4"
"Jonathan Taylor","IND","RB4","326.6","1504.6","12.9","42.9","341.5","1.5","1.7","288.7"
"Puka Nacua","LAR","WR1","13.6","85.0","1.4","117.0","1539.0","9.0","1.0","281.3"
"Ja'Marr Chase","CIN","WR2","3.0","17.0","0.0","121.2","1511.2","10.6","1.0","275.4"
"Jaxon Smith-Njigba","SEA","WR3","5.5","30.4","0.1","110.9","1570.0","9.5","1.1","270.8"
"Derrick Henry","BAL","RB5","314.0","1569.8","13.4","18.1","175.1","0.7","1.7","264.8"
"Amon-Ra St. Brown","DET","WR4","3.1","11.8","0.0","117.4","1390.9","10.5","0.4","261.2"
"De'Von Achane","MIA","RB6","238.3","1200.2","6.0","65.2","490.7","4.0","1.0","259.7"
"James Cook III","BUF","RB7","287.7","1405.1","10.3","33.3","283.7","1.9","2.4","253.9"
"Chase Brown","CIN","RB8","238.8","1037.5","7.8","63.8","427.6","4.0","1.1","246.7"
"Saquon Barkley","PHI","RB9","295.8","1299.1","8.2","41.7","330.4","2.1","1.0","243.8"
"Kenneth Walker III","KC","RB10","262.5","1192.1","8.7","45.8","353.4","1.2","0.9","235.2"
"Ashton Jeanty","LV","RB11","258.0","1040.2","7.4","56.7","400.6","3.0","1.1","232.4"
"Josh Jacobs","GB","RB12","274.2","1102.2","11.7","35.3","280.0","1.2","1.3","231.0"
"Omarion Hampton","LAC","RB13","243.7","1034.8","9.5","50.2","342.8","1.9","1.0","229.1"
"Jeremiyah Love","ARI","RB14","237.2","1068.9","7.2","54.7","429.1","2.1","2.2","228.6"
"Drake London","ATL","WR5","0.0","0.0","0.0","98.4","1272.9","8.8","1.0","227.1"
"CeeDee Lamb","DAL","WR6","2.4","12.6","0.0","97.5","1295.6","7.5","0.3","224.3"
"Justin Jefferson","MIN","WR7","1.3","5.5","0.0","98.9","1310.9","7.1","0.3","223.4"
"Kyren Williams","LAR","RB15","240.2","1118.4","10.1","33.8","239.6","2.2","1.5","223.3"
"Breece Hall","NYJ","RB16","249.0","1113.5","6.2","46.4","404.1","2.2","1.7","222.2"
