"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Trey McBride (ARI)","169","27.5","126","1239","9.8","12","11","0","0","0","0","17","189.9","11.2","99.4%"
"2","Dallas Goedert (PHI)","82","17.6","60","591","9.9","7","11","0","0","0","0","15","125.1","8.3","85.4%"
"3","Kyle Pitts Sr. (ATL)","118","22.8","88","928","10.5","12","5","0","0","0","0","17","122.8","7.2","96.4%"
"4","Hunter Henry (NE)","87","17.8","60","768","12.8","11","7","0","0","0","0","17","118.8","7.0","64.7%"
"5","Travis Kelce (KC)","108","19.7","76","851","11.2","9","5","1","1","0","0","17","117.2","6.9","91.0%"
"6","Harold Fannin Jr. (CLE)","107","20.8","72","731","10.2","8","6","7","13","1","1","16","114.4","7.2","95.0%"
"7","Tyler Warren (IND)","112","20.9","76","817","10.8","10","4","6","8","1","0","17","112.5","6.6","98.8%"
"8","Brock Bowers (LV)","86","17.2","64","680","10.6","8","7","2","2","0","0","12","112.2","9.4","99.7%"
"9","Colston Loveland (CHI)","82","15.5","58","713","12.3","10","6","1","-2","0","0","16","107.1","6.7","99.5%"
"10","Jake Ferguson (DAL)","102","17.1","82","600","7.3","2","8","1","1","0","2","17","106.1","6.2","84.0%"
"11","George Kittle (SF)","69","12.5","57","628","11.0","9","7","1","-3","0","0","11","104.5","9.5","90.1%"
"12","Juwan Johnson (NO)","102","18","77","889","11.5","11","3","0","0","0","2","17","102.9","6.1","47.5%"
"13","Dalton Schultz (HOU)","106","18.9","82","777","9.5","5","3","0","0","0","0","17","95.7","5.6","26.8%"
"14","AJ Barner (SEA)","68","15.1","52","519","10.0","3","6","10","14","1","0","17","95.3","5.6","20.9%"
"15","Dalton Kincaid (BUF)","49","10.2","39","571","14.6","13","5","0","0","0","0","12","87.1","7.3","83.9%"
"16","Colby Parkinson (LAR)","56","9.6","43","408","9.5","4","8","0","0","0","1","15","86.8","5.8","11.5%"
"17","Tucker Kraft (GB)","44","9.7","32","489","15.3","6","6","1","3","0","0","8","85.2","10.6","93.3%"
"18","Mark Andrews (BAL)","70","16.9","48","422","8.8","3","5","10","48","1","0","17","83.0","4.9","81.7%"
"19","Theo Johnson (NYG)","74","14.8","45","528","11.7","8","5","0","0","0","0","15","82.8","5.5","3.9%"
"20","Oronde Gadsden II (LAC)","69","12.8","49","664","13.6","11","3","0","0","0","1","15","82.4","5.5","32.3%"
"21","Zach Ertz (WAS)","72","16.8","50","504","10.1","5","4","0","0","0","0","13","76.4","5.9","0.6%"
"22","Pat Freiermuth (PIT)","54","10.8","41","486","11.9","6","4","0","0","0","0","17","72.6","4.3","11.7%"
"23","Brenton Strange (JAC)","60","10.9","46","540","11.7","9","3","0","0","0","0","12","72.0","6.0","42.2%"
"24","Chig Okonkwo (TEN)","79","14.8","56","560","10.0","6","2","0","0","0","0","17","68.0","4.0","37.2%"
"25","Dawson Knox (BUF)","49","9.9","36","417","11.6","5","4","0","0","0","0","17","67.7","4.0","4.2%"
"26","Sam LaPorta (DET)","49","8.8","40","489","12.2","6","3","0","0","0","0","9","66.9","7.4","95.3%"
"27","Darren Waller (MIA)","34","7.6","24","283","11.8","5","6","1","4","0","0","9","64.7","7.2","5.3%"
"28","Cade Otton (TB)","81","14.9","59","572","9.7","7","1","0","0","0","0","16","63.2","3.9","14.9%"
"29","T.J. Hockenson (MIN)","66","14.1","51","438","8.6","3","3","1","0","0","0","15","61.8","4.1","50.2%"
"30","Jake Tonges (SF)","46","8.3","34","293","8.6","2","5","0","0","0","0","16","59.3","3.7","5.7%"
"31","David Njoku (CLE)","48","9.4","33","293","8.9","2","4","0","0","0","0","12","53.3","4.4","15.6%"
"32","Evan Engram (DEN)","76","13","50","461","9.2","4","1","1","7","0","0","16","52.8","3.3","7.9%"
"33","Cole Kmet (CHI)","48","9.4","30","347","11.6","5","2","0","0","0","0","16","48.7","3.0","4.1%"
"34","Gunnar Helm (TEN)","55","10.5","44","357","8.1","2","2","0","0","0","0","16","47.7","3.0","8.7%"
"35","Jonnu Smith (PIT)","54","10.8","38","222","5.8","1","2","9","70","1","0","17","47.2","2.8","3.1%"
"36","Tyler Higbee (LAR)","36","6.1","25","281","11.2","6","3","0","0","0","0","10","46.1","4.6","1.7%"
"37","Mason Taylor (NYJ)","65","13.7","44","369","8.4","2","1","0","0","0","0","13","44.9","3.5","4.3%"
"38","Mike Gesicki (CIN)","42","7","28","307","11.0","2","2","0","0","0","0","13","42.7","3.3","4.0%"
"39","Darnell Washington (PIT)","43","8.6","31","364","11.7","3","1","0","0","0","1","16","42.4","2.7","6.9%"
"40","Terrance Ferguson (LAR)","25","4.3","11","231","21.0","7","3","1","0","0","0","13","41.1","3.2","19.0%"
"41","Noah Fant (CIN)","41","6.9","34","288","8.5","3","3","0","0","0","3","15","40.8","2.7","1.3%"
"42","Daniel Bellinger (NYG)","26","5.2","19","286","15.1","4","2","0","0","0","0","16","40.6","2.5","1.5%"
"43","Josh Oliver (MIN)","19","3.8","15","160","10.7","2","4","0","0","0","0","15","40.0","2.7","0.6%"
"44","Michael Mayer (LV)","50","10","35","328","9.4","3","1","0","0","0","0","13","38.8","3.0","6.5%"
"44","Davis Allen (LAR)","33","5.7","24","208","8.7","2","3","0","0","0","0","17","38.8","2.3","1.0%"
"46","Austin Hooper (NE)","26","5.2","21","263","12.5","6","2","0","0","0","0","16","38.3","2.4","0.9%"
"47","Tommy Tremble (CAR)","37","7.5","27","249","9.2","1","2","0","0","0","0","17","36.9","2.2","0.6%"
"48","Greg Dulcich (MIA)","33","7.3","26","335","12.9","7","1","1","-7","0","1","10","36.8","3.7","14.5%"
"49","Jackson Hawes (BUF)","19","3.8","16","187","11.7","2","3","0","0","0","0","17","36.7","2.2","0.6%"
"50","Isaiah Likely (BAL)","36","8.8","27","307","11.4","4","1","0","0","0","1","14","34.7","2.5","81.3%"
"51","Taysom Hill (NO)","16","3","11","91","8.3","0","0","52","114","1","1","13","30.8","2.4","0.7%"
"52","Mitchell Evans (CAR)","25","5","19","171","9.0","2","2","1","1","0","0","17","29.2","1.7","0.6%"
"53","Tanner Hudson (CIN)","24","3.9","19","168","8.8","1","2","0","0","0","0","13","28.8","2.2","2.3%"
"54","Elijah Higgins (ARI)","37","6.1","30","301","10.0","4","0","0","0","0","1","17","28.1","1.7","0.6%"
"55","Charlie Kolar (BAL)","15","3.3","10","142","14.2","2","2","0","0","0","0","17","26.2","1.5","1.4%"
"56","Adam Trautman (DEN)","23","3.9","20","195","9.8","3","1","0","0","0","0","17","25.5","1.5","0.6%"
"57","Luke Musgrave (GB)","31","6.7","24","252","10.5","5","0","0","0","0","0","17","25.2","1.5","3.0%"
"58","Ja'Tavion Sanders (CAR)","34","6.9","29","190","6.6","0","1","0","0","0","0","13","25.0","1.9","1.1%"
"59","Connor Heyward (PIT)","4","0.8","3","21","7.0","0","1","15","43","2","0","16","24.4","1.5","0.1%"
"60","Jeremy Ruckert (NYJ)","29","5.9","23","179","7.8","1","1","0","0","0","0","17","23.9","1.4","0.6%"
"61","Brock Wright (DET)","22","3.9","14","108","7.7","1","2","0","0","0","0","11","22.8","2.1","0.7%"
"62","Elijah Arroyo (SEA)","26","5.5","15","179","11.9","4","1","0","0","0","1","13","21.9","1.7","2.2%"
"63","Hunter Long (JAC)","17","2.9","12","85","7.1","0","2","0","0","0","0","9","20.5","2.3","1.0%"
"64","Luke Farrell (SF)","14","2.7","11","85","7.7","0","2","0","0","0","1","17","18.5","1.1","0.6%"
"65","Noah Gray (KC)","37","6.7","21","178","8.5","1","0","0","0","0","0","16","17.8","1.1","1.5%"
