"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Puka Nacua (LAR)","166","28.6","129","1715","13.3","27","10","10","105","1","1","16","246.0","15.4","99.7%"
"2","Jaxon Smith-Njigba (SEA)","163","36","119","1793","15.1","27","10","7","36","0","1","17","240.9","14.2","99.7%"
"3","Amon-Ra St. Brown (DET)","172","31.4","117","1401","12.0","19","11","3","9","0","0","17","207.0","12.2","99.8%"
"4","George Pickens (DAL)","137","22.7","93","1429","15.4","22","9","0","0","0","0","17","198.9","11.7","99.3%"
"5","Ja'Marr Chase (CIN)","185","30.2","125","1412","11.3","15","8","3","14","0","1","16","188.6","11.8","99.8%"
"6","Chris Olave (NO)","156","27.7","100","1163","11.6","11","9","1","-3","0","0","16","169.0","10.6","98.2%"
"7","Davante Adams (LAR)","114","19.6","60","789","13.2","14","14","0","0","0","0","14","162.9","11.6","96.2%"
"8","Zay Flowers (BAL)","118","28.9","86","1211","14.1","19","5","10","62","1","3","17","157.3","9.3","98.4%"
"9","Nico Collins (HOU)","120","21.5","71","1117","15.7","18","6","2","15","1","1","15","155.2","10.3","99.6%"
"10","Jameson Williams (DET)","102","18.5","65","1117","17.2","23","7","6","12","0","0","17","154.9","9.1","93.6%"
"11","Tee Higgins (CIN)","98","16.1","59","846","14.3","14","11","0","0","0","0","15","152.6","10.2","97.1%"
"12","Courtland Sutton (DEN)","124","21.1","74","1017","13.7","17","7","0","0","0","0","17","145.7","8.6","88.5%"
"13","Michael Wilson (ARI)","126","20.1","78","1006","12.9","14","7","0","0","0","0","17","142.6","8.4","85.4%"
"14","A.J. Brown (PHI)","121","26","78","1003","12.9","14","7","0","0","0","0","15","142.3","9.5","99.3%"
"15","Tetairoa McMillan (CAR)","122","25.6","70","1014","14.5","17","7","0","0","0","1","17","141.4","8.3","98.1%"
"16","Alec Pierce (IND)","84","15.8","47","1003","21.3","17","6","0","0","0","0","15","136.3","9.1","83.6%"
"17","Drake London (ATL)","112","21.4","68","919","13.5","13","7","0","0","0","1","12","133.9","11.2","99.1%"
"18","Emeka Egbuka (TB)","127","23.7","63","938","14.9","20","6","2","9","0","0","17","132.7","7.8","97.6%"
"19","Jaylen Waddle (MIA)","100","21.8","64","910","14.2","14","6","2","28","0","0","16","130.1","8.1","97.0%"
"20","DK Metcalf (PIT)","99","19","59","850","14.4","15","6","2","12","1","0","15","128.2","8.5","90.1%"
"21","Parker Washington (JAC)","95","17.1","58","847","14.6","17","5","7","0","0","0","16","126.7","7.9","87.1%"
"22","CeeDee Lamb (DAL)","117","19.2","75","1077","14.4","16","3","1","2","0","0","14","125.9","9.0","99.5%"
"22","Wan'Dale Robinson (NYG)","140","28","92","1014","11.0","14","4","3","5","0","0","16","125.9","7.9","72.7%"
"24","Stefon Diggs (NE)","102","21.1","85","1013","11.9","17","4","0","0","0","0","17","125.3","7.4","78.8%"
"25","DeVonta Smith (PHI)","113","24.3","77","1008","13.1","14","4","0","0","0","0","17","124.8","7.3","98.9%"
"26","Michael Pittman Jr. (IND)","111","21","80","784","9.8","5","7","0","0","0","0","17","122.4","7.2","82.5%"
"27","DJ Moore (CHI)","85","15.8","50","682","13.6","12","6","15","79","1","1","17","120.2","7.1","94.7%"
"27","Quentin Johnston (LAC)","85","15.9","51","735","14.4","13","8","2","7","0","1","14","120.2","8.6","75.7%"
"29","Jauan Jennings (SF)","90","16.3","55","643","11.7","9","9","0","0","0","1","15","118.3","7.9","25.1%"
"30","Justin Jefferson (MIN)","141","30.4","84","1048","12.5","12","2","2","7","0","0","17","117.5","6.9","99.4%"
"31","Deebo Samuel Sr. (WAS)","99","23.2","72","727","10.1","10","5","17","75","1","0","16","116.2","7.3","60.3%"
"32","Ladd McConkey (LAC)","106","19.7","66","789","12.0","8","6","0","0","0","0","16","114.9","7.2","97.4%"
"33","Troy Franklin (DEN)","104","17.9","65","709","10.9","9","6","5","12","0","1","17","112.1","6.6","4.9%"
"34","Romeo Doubs (GB)","85","18.6","55","724","13.2","12","6","0","0","0","0","16","110.4","6.9","58.9%"
"35","Tre Tucker (LV)","92","18.4","57","696","12.2","9","5","11","51","0","0","17","104.7","6.2","21.5%"
"36","Rome Odunze (CHI)","90","16.9","44","661","15.0","13","6","0","0","0","0","12","102.1","8.5","93.6%"
"37","Keenan Allen (LAC)","122","22.6","81","777","9.6","6","4","0","0","0","0","17","101.7","6.0","23.9%"
"38","Jakobi Meyers (JAC)","110","20.9","75","835","11.1","10","3","5","13","0","1","16","100.8","6.3","72.3%"
"39","Rashid Shaheed (SEA)","92","17.4","59","687","11.6","6","2","9","69","0","1","18","97.6","5.4","47.2%"
"40","Christian Watson (GB)","55","12.1","35","611","17.5","11","6","1","3","0","0","10","97.4","9.7","89.7%"
"41","Rashee Rice (KC)","78","14.2","53","571","10.8","9","5","5","20","1","0","8","97.1","12.1","99.0%"
"42","Khalil Shakir (BUF)","95","19.7","72","719","10.0","8","4","1","5","0","1","16","94.4","5.9","60.1%"
