Consensus,Player,Pos,Team,Bye,BestBall10s,CBS,DraftKings,Drafters,ESPN,FBG OC,FFPC,MFL,NFFC,RT Sports,Sleeper 1QB,Sleeper 1QB Rookie,Sleeper IDP,Sleeper IDP SF,Sleeper Redraft,Sleeper SF,Sleeper SF Redraft,Sleeper SF Rookie,Underdog,Yahoo!
1,Jahmyr Gibbs,RB1,DET,6,1,1,1,1,1,1,1,1,1,1,2,-,-,-,-,3,-,-,1,1
2,Bijan Robinson,RB2,ATL,11,2,2,2,2,2,2,2,2,2,2,1,-,-,-,-,1,-,-,2,2
3,Ja'Marr Chase,WR1,CIN,6,3,3,3,3,3,3,3,4,3,3,3,-,-,-,-,4,-,-,3,3
4,Puka Nacua,WR2,LAR,11,4,5,4,4,4,4,4,5,4,4,5,-,-,-,-,7,-,-,4,4
5,Christian McCaffrey,RB3,SF,8,7,7,6,7,6,7,7,8,6,5,22,-,-,-,-,34,-,-,6,5
6,Jaxon Smith-Njigba,WR3,SEA,11,6,6,5,5,5,5,6,7,5,6,4,-,-,-,-,6,-,-,5,7
7,Amon-Ra St. Brown,WR4,DET,6,5,8,7,6,8,6,8,9,7,8,6,-,-,-,-,8,-,-,7,8
8,Jonathan Taylor,RB4,IND,13,9,4,8,8,7,9,9,6,8,7,17,-,-,-,-,23,-,-,8,6
9,James Cook III,RB5,BUF,7,8,9,9,9,12,11,10,10,9,9,19,-,-,-,-,25,-,-,10,9
10,Justin Jefferson,WR5,MIN,6,11,16,10,11,11,10,12,14,12,12,7,-,-,-,-,13,-,-,11,12
11,CeeDee Lamb,WR6,DAL,14,10,14,11,10,9,12,14,11,11,13,12,-,-,-,-,18,-,-,9,10
12,Chase Brown,RB6,CIN,6,12,11,13,12,18,14,11,16,13,11,25,-,-,-,-,38,-,-,14,16
13,De'Von Achane,RB7,MIA,6,17,10,15,15,10,20,16,12,15,10,13,-,-,-,-,20,-,-,17,14
14,Saquon Barkley,RB8,PHI,10,19,13,12,14,13,17,17,13,16,14,34,-,-,-,-,49,-,-,12,11
15,Ashton Jeanty,RB9,LV,13,14,15,20,17,14,8,19,15,10,17,8,-,-,-,-,12,-,-,18,13
16,Omarion Hampton,RB10,LAC,7,13,20,16,16,24,13,18,19,14,15,15,-,-,-,-,21,-,-,15,18
17,Ken Walker III,RB11,KC,5,16,17,14,13,21,18,13,21,17,16,28,-,-,-,-,45,-,-,13,15
18,Brock Bowers,TE1,LV,13,20,27,19,18,23,19,5,20,19,24,14,-,-,-,-,17,-,-,20,21
19,A.J. Brown,WR7,NE,11,15,21,17,20,25,15,20,24,20,19,44,-,-,-,-,53,-,-,19,24
20,Derrick Henry,RB12,BAL,13,25,12,18,19,16,26,22,17,21,18,61,-,-,-,-,75,-,-,16,17
21,Drake London,WR8,ATL,11,18,19,21,22,15,16,23,25,18,21,18,-,-,-,-,22,-,-,22,19
22,Nico Collins,WR9,HOU,8,23,25,25,21,26,24,25,27,22,25,24,-,-,-,-,33,-,-,21,23
23,Trey McBride,TE2,ARI,14,29,28,27,26,17,29,15,22,24,20,16,-,-,-,-,16,-,-,28,25
24,George Pickens,WR10,DAL,14,22,22,24,25,27,21,27,29,23,26,23,-,-,-,-,30,-,-,24,22
25,Chris Olave,WR11,NO,8,21,29,22,24,28,27,26,34,26,22,26,-,-,-,-,37,-,-,25,30
26,Malik Nabers,WR12,NYG,8,24,30,23,23,30,39,24,33,29,27,10,-,-,-,-,10,-,-,23,29
27,Rashee Rice,WR13,KC,5,28,23,26,28,20,23,28,30,27,34,36,-,-,-,-,46,-,-,26,34
28,Josh Allen,QB1,BUF,7,38,18,28,31,19,36,39,3,28,28,11,-,-,-,-,2,-,-,37,20
29,Jeremiyah Love,RB13,ARI,14,37,31,36,36,22,30,32,31,25,29,9,1,-,-,-,15,-,1,29,26
30,DeVonta Smith,WR14,PHI,10,26,36,30,27,35,28,29,36,31,36,60,-,-,-,-,71,-,-,27,28
31,Zay Flowers,WR15,BAL,13,27,34,32,30,36,25,33,42,33,37,54,-,-,-,-,64,-,-,31,36
32,Javonte Williams,RB14,DAL,14,44,32,31,32,31,41,36,32,34,23,56,-,-,-,-,68,-,-,33,33
33,Kyren Williams,RB15,LAR,11,45,24,29,29,37,43,37,28,30,30,43,-,-,-,-,56,-,-,30,27
34,Breece Hall,RB16,NYJ,13,41,38,42,38,29,40,30,40,32,31,35,-,-,-,-,44,-,-,32,35
35,Ladd McConkey,WR16,LAC,7,32,43,33,33,45,32,34,47,39,44,40,-,-,-,-,47,-,-,34,44
36,Garrett Wilson,WR17,NYJ,13,33,46,37,34,32,35,35,48,38,40,37,-,-,-,-,41,-,-,39,49
37,Emeka Egbuka,WR18,TB,10,30,42,40,42,44,22,42,52,36,42,29,-,-,-,-,35,-,-,36,43
38,Tee Higgins,WR19,CIN,6,34,39,35,37,51,31,41,45,37,51,48,-,-,-,-,60,-,-,35,31
39,Tetairoa McMillan,WR20,CAR,5,35,44,44,44,38,33,44,46,35,46,21,-,-,-,-,28,-,-,41,40
40,Jaylen Waddle,WR21,DEN,10,31,49,34,35,52,34,38,56,42,52,65,-,-,-,-,78,-,-,38,39
41,Josh Jacobs,RB17,GB,11,52,26,46,45,33,44,40,35,40,32,47,-,-,-,-,66,-,-,42,32
42,Colston Loveland,TE3,CHI,10,43,45,39,43,41,48,21,43,43,48,32,-,-,-,-,32,-,-,43,38
43,Travis Etienne Jr.,RB18,NO,8,49,37,38,41,39,51,43,39,41,35,55,-,-,-,-,69,-,-,40,42
44,Cam Skattebo,RB19,NYG,8,53,33,45,50,40,50,45,44,45,41,52,-,-,-,-,62,-,-,46,41
45,Luther Burden III,WR22,CHI,10,36,60,48,47,66,38,46,80,44,47,45,-,-,-,-,54,-,-,45,57
46,DJ Moore,WR23,BUF,7,40,53,41,39,55,47,48,62,55,33,77,-,-,-,-,93,-,-,53,59
47,Terry McLaurin,WR24,WAS,7,39,57,54,54,54,37,54,61,46,56,78,-,-,-,-,97,-,-,48,52
48,D'Andre Swift,RB20,CHI,10,55,35,43,40,56,60,47,50,51,43,71,-,-,-,-,87,-,-,44,46
49,David Montgomery,RB21,HOU,8,57,48,47,46,60,49,49,58,47,45,82,-,-,-,-,104,-,-,47,50
50,Davante Adams,WR25,LAR,11,48,56,49,55,42,53,58,53,49,57,83,-,-,-,-,100,-,-,51,54
51,Jameson Williams,WR26,DET,6,46,54,51,51,59,45,56,64,48,58,58,-,-,-,-,70,-,-,50,64
52,Bucky Irving,RB22,TB,10,63,41,53,53,49,65,52,54,54,39,38,-,-,-,-,48,-,-,54,55
53,Quinshon Judkins,RB23,CLE,11,60,47,59,59,50,62,51,59,53,38,42,-,-,-,-,50,-,-,55,51
54,Tyler Warren,TE4,IND,13,56,59,61,63,46,61,31,57,61,55,41,-,-,-,-,40,-,-,63,45
55,Bhayshul Tuten,RB24,JAX,7,59,52,50,48,62,56,50,63,62,49,74,-,-,-,-,90,-,-,49,60
56,Rome Odunze,WR27,CHI,10,50,64,57,52,57,54,59,69,59,59,49,-,-,-,-,59,-,-,59,66
57,Lamar Jackson,QB2,BAL,13,75,40,55,56,34,78,71,18,58,54,30,-,-,-,-,11,-,-,57,37
58,Christian Watson,WR28,GB,11,42,66,56,57,85,42,57,70,52,70,81,-,-,-,-,95,-,-,58,67
59,Mike Evans,WR29,SF,8,51,63,60,60,84,46,60,77,56,68,100,-,-,-,-,116,-,-,52,65
60,TreVeyon Henderson,RB25,NE,11,61,62,65,64,68,57,64,67,50,53,27,-,-,-,-,39,-,-,61,62
61,Jadarian Price,RB26,SEA,11,65,55,58,58,64,68,55,68,65,50,64,4,-,-,-,72,-,6,60,63
62,Parker Washington,WR30,JAX,7,47,77,52,49,83,59,53,79,66,63,95,-,-,-,-,107,-,-,56,77
63,Joe Burrow,QB3,CIN,6,70,50,62,69,53,64,89,26,57,65,31,-,-,-,-,14,-,-,68,48
64,Drake Maye,QB4,NE,11,73,51,66,68,43,71,86,23,60,67,20,-,-,-,-,5,-,-,66,47
65,Marvin Harrison Jr.,WR31,ARI,14,58,69,63,61,72,55,68,87,64,80,53,-,-,-,-,63,-,-,65,74
66,Carnell Tate,WR32,TEN,9,54,89,67,66,67,52,72,83,63,83,33,2,-,-,-,43,-,2,62,76
67,Rhamondre Stevenson,RB27,NE,11,76,74,64,62,71,86,70,81,74,60,111,-,-,-,-,129,-,-,67,75
68,Jaylen Warren,RB28,PIT,9,74,68,70,67,87,75,69,75,68,61,90,-,-,-,-,111,-,-,70,73
69,Brian Thomas Jr.,WR33,JAX,7,62,83,69,65,93,58,76,89,67,85,59,-,-,-,-,65,-,-,64,78
70,Tucker Kraft,TE5,GB,11,82,73,74,82,77,91,61,76,79,73,63,-,-,-,-,67,-,-,76,58
71,DK Metcalf,WR34,PIT,9,67,90,81,77,74,66,78,99,69,89,88,-,-,-,-,99,-,-,73,84
72,Jonathon Brooks,RB29,CAR,5,66,84,68,71,106,67,65,101,95,64,137,-,-,-,-,148,-,-,75,92
73,Jayden Daniels,QB5,WAS,7,101,61,75,73,47,102,101,38,70,75,39,-,-,-,-,9,-,-,69,53
