Round/Pick,Team,Amount,Player,"Player Team","Player Position"
1.1,"Patient Zeros Aids Epidemic",0,,,
1.2,"The Comeback Story",0,,,
1.3,"Stopped The Steal!",0,,,
1.4,Tom,0,"St. Brown, Amon-Ra",DET,WR
1.5,"Lawson Country Lets Ride",0,,,
1.6,"Pollock Debacle",0,,,
1.7,"Ja'Marr & Jahmyr",0,"Gibbs, Jahmyr",DET,RB
1.8,"Trash Pandas",0,,,
1.9,"Svannah Alley Cats",0,,,
1.10,"Sittin Purdy",0,,,
1.11,"Woke Mob Warriors",0,"Taylor, Jonathan",IND,RB
1.12,"Time Stamps",0,"McCaffrey, Christian",SFO,RB
2.1,"Woke Mob Warriors",0,,,
2.2,"The Comeback Story",0,,,
2.3,"Sittin Purdy",0,,,
2.4,"Svannah Alley Cats",0,,,
2.5,"Trash Pandas",0,,,
2.6,"Lawson Country Lets Ride",0,,,
2.7,"Pollock Debacle",0,,,
2.8,"Stopped The Steal!",0,,,
2.9,Tom,0,,,
2.10,"Ja'Marr & Jahmyr",0,"Chase, Ja'Marr",CIN,WR
2.11,"Time Stamps",0,"Robinson, Bijan",ATL,RB
2.12,"Patient Zeros Aids Epidemic",0,"Cook, James",BUF,RB
3.1,"The Comeback Story",0,,,
3.2,"Time Stamps",0,,,
3.3,"Stopped The Steal!",0,,,
3.4,Tom,0,,,
3.5,"Trash Pandas",0,,,
3.6,"Pollock Debacle",0,,,
3.7,"Ja'Marr & Jahmyr",0,,,
3.8,"Lawson Country Lets Ride",0,"Walker III, Kenneth",KCC,RB
3.9,"Svannah Alley Cats",0,,,
3.10,"Sittin Purdy",0,,,
3.11,"Patient Zeros Aids Epidemic",0,,,
3.12,"Woke Mob Warriors",0,,,
4.1,"Ja'Marr & Jahmyr",0,,,
4.2,"Woke Mob Warriors",0,,,
4.3,"Sittin Purdy",0,"Smith-Njigba, Jaxon",SEA,WR
4.4,"Svannah Alley Cats",0,,,
4.5,"Lawson Country Lets Ride",0,,,
4.6,"Time Stamps",0,,,
4.7,"Pollock Debacle",0,,,
4.8,"Trash Pandas",0,"Achane, De'Von",MIA,RB
4.9,Tom,0,,,
4.10,"Stopped The Steal!",0,,,
4.11,"The Comeback Story",0,"Nacua, Puka",LAR,WR
4.12,"Patient Zeros Aids Epidemic",0,,,
5.1,"Patient Zeros Aids Epidemic",0,,,
5.2,"The Comeback Story",0,,,
5.3,"Ja'Marr & Jahmyr",0,,,
5.4,Tom,0,,,
5.5,"Ja'Marr & Jahmyr",0,,,
5.6,"Pollock Debacle",0,,,
5.7,"Stopped The Steal!",0,,,
5.8,"Lawson Country Lets Ride",0,,,
5.9,"Svannah Alley Cats",0,,,
5.10,"Sittin Purdy",0,"Odunze, Rome",CHI,WR
